subtitulo,conteudo
BIO,"Nascido em São Gonçalo e com base em Niterói, Vinicius Guimarães é designer gráfico, professor, palestrante e pesquisador. Formado pela EBA/UFRJ, atua principalmente nas áreas de identidade visual, design editorial, design de tipos e lettering. Suas pesquisas têm como foco a tipografia e a memória gráfica brasileira. Entre projetos, aulas e investigações, procura estar sempre criando, pesquisando e ensinando. Bairrista do bem (sim, eles existem), garimpa joias no passado e curte tecnologia, sem abrir mão do fascínio por artefatos físicos."
Formação,"**Universidade do Estado do Rio de Janeiro · 2016‒2021**
Doutorado em Design pela Escola Superior de Desenho Industrial. Tese: Lettras e taboletas: a produção de letreiramento público no Rio de Janeiro em jornais e periódicos (1860-1910)"
Formação,"**Universidade do Estado do Rio de Janeiro · 2009‒2011**
Mestrado em Design pela Escola Superior de Desenho Industrial. Dissertação: <a href=""http://www.bdtd.uerj.br/handle/1/9091"" target=""_blank"">Tipografia pintada no Centro do Rio de Janeiro <i class=""fas fa-external-link-alt""></i></a>"
Formação,"**Universidade Federal do Rio de Janeiro · 2000‒2006**
Bacharelado em Desenho Industrial / Programação Visual pela Escola de Belas Artes."
Experiência,"**NESPE · 2020–atual**
Professor"
Experiência,**Designer Freelancer · 2005–atual**
Experiência,"**Senac RJ · 2024–2025**
Especialista em Design no Núcleo de Criação Educacional da Cápsula - Centro de Inovação"
Experiência,"**Faculdade Senac RJ**
Professor da Graduação em Design Gráfico · 2013–2023
Coordenador da Graduação em Design Gráfico · 2022‒2023
Coordenador da Agência Experimental Órbota+ · 2022‒2023"
Experiência,"**Pictorama Workshops · 2014–2019**
Sócio-fundador"
Experiência,"**IED Rio · 2016–2018**
Professor"
Experiência,"**Prefeitura Universitária da UFRJ · 2004–2006** 
Estagiário de programação visual"
Workshops,"**Oficina de Lettering**
Semana do Design Gráfico da Universidade Estácio de Sá · 2019"
Workshops,"**Moduletras: tipografia modular**
Pictorama · 2018
Designaholic - Semana Acadêmica do Curso de Design da Universidade Regional de Blumenau · 2015"
Workshops,"**Introdução ao FontLab**
Semana de Design Faculdade Senac RJ · 2018"
Workshops,"**Oficina de Tipografia**
3 Dias de Design Gráfico – Semana de Design Gráfico da Universidade Estácio de Sá · 2018"
Workshops,"**Design de Tipos**
Chispa – Semana de design, tecnologia e inovação da Universidade Estácio de Sá · 2018"
Workshops,"**Vernaculando — oficina de tipografia popular**
Pictorama · 2014, 2016"
Exposições,"**Letras Artesanais Urbanas· 2009**
Sesc Niterói"
Exposições,"**Connexions > Conexões · 2009**
(com Coletivo Crimes Tipográficos) Sesc Pompeia "
Palestras,"**Design Sim Senhor! Pesquisando a história do design no Brasil**
UEMG · 2022"
